Document,Transcription,Consignment,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Owner Name 1,Owner Name 2,Owner Name 3,Owner Name 4,Owner Name 5,Beneficiaries,Title,Subject/Genre,Subject/ICON,Object Type,Document Type,Object Notes,Inscription,Transaction,Date or Range,Document Origin,Residence,Room,Entry Date,Purchase Loc,Sale Date,Auction House,Sale Location,Purchase Price,KnoedShare Price,Dealer Cost,Sale Price,KnoedSale Price,Seller(s),Buyer(s),Joint Owner(s),Prev Owner(s),Prev Sales,Post Owner(s),Post Sales,Present Loc,Expert,Comm-Priseur,Lugt Number,Number of Lots,Notes,Catalog Loc(s),Photocopies,Editor Notes,Introduction,Archive Record,Related Doc(s),Further Notes,Bibliography,Appraiser,Notary,Pubication,Contributor,Other Invent(s),Annotations,Column 64,Column 65
"Sales Catalog Br-A1628, Lot 0119",,,"RUBENS, PETER PAUL (Flemish), and Snyders, F. -- from catalog: Rubens","SNYDERS, FRANS (Flemish), and Rubens -- from catalog: Snyders",,,,,,,,,,"Nymphs, satyrs, dogs, &c.",History; Mythology (Figures),,Painting,,,,Bought In,,,,,,,1788 Apr 2 - 1788 Apr  3 (This Lot: Apr  2),Christie's,"London, England, UK",,,,9-19 pounds(CL),,Holmes;  -- from catalog: Holmes (CL),,,,,,,,,,4294,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1548, Lot 0026",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"A pair, horse and dogs",Animals,,Painting,,,,Sold [?],,,,,,,1786 Dec 23,Christie's,"London, England, UK",,,,0-9 pounds(CL),,"Foxall, Zech.;  -- from catalog: Foxall (CL)",James;  -- from catalog: James (CL),,,,,,,,,4114,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1551, Lot 0058",,,"TILBORGH, GILLIS VAN (Flemish) -- from catalog: Tilborgh",,,,,,,,,,,A sportsman with dogs,Genre; Sporting,,Painting,,,,Bought In,,,,,,,1787 Jan 19 - 1787 Jan 20 (This Lot: Jan 19),Christie's,"London, England, UK",,,,1-16 pounds(CL),,County;  -- from catalog: County (CL),Nixon;  -- from catalog: Nixon (CL),,,,,,,,,4125,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1682, Lot 0072",,,[ILLEGIBLE] (Unknown) -- from catalog: [Illegible],,,,,,,,,,,Dogs and dead game,Animals; Sporting,,Painting,,,,Bought In,,,,,,,1789 Apr 3 - 1789 Apr  4 (This Lot: Apr  3),Christie's,"London, England, UK",,,,,,"JONES, THOMAS (ARTIST);  -- from catalog: Jones [?] (CL)",,,,,,,,,,4420,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1551, Lot 0074",,,"STUBBS, GEORGE (British) -- from catalog: Stubbs",,,,,,,,,,,"Three portraits of horses, dogs and grooms",Genre; Sporting,,Painting,,,,Sold,,,,,,,1787 Jan 19 - 1787 Jan 20 (This Lot: Jan 20),Christie's,"London, England, UK",,,,29-18 pounds(CL),,"Wildeman, William;  -- from catalog: W (CL)",Middleton;  -- from catalog: Middleton (CL),,,,,,,,,4125,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1902, Lot 0065",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,Ditto [A painting] of Rose and Mungo two dogs in ditto [a rich burnished gold frame],Animals,,Painting,,,,Unknown,,,,,,,1792 Apr 23 and following days,Anonymous,"Ormesby, near Middlesbrough, North Yorkshire, England, UK",,,,,,"Pennyman, James, 6th Bart.;  -- from catalog: Sir James Pennyman, Bart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1600, Lot 0047",,,"GAINSBOROUGH, THOMAS (British) -- from catalog: Gainsborough",,,,,,,,,,,"Evening, the companion, with a drove of cattle, and a shepherd and shepherdess, dogs, &c. (companion to lot 46, Morning, a beautiful landscape with figures and horses, by Gainsborough, T.)",Landscape; Landscapes with Figures,,Drawing,,,,Unknown,,,,,,,1787 Dec 12 - 1787 Dec 13 (This Lot: Dec 13),Greenwood,"London, England, UK",,,,,,"Abel, Karl Friedrich;  -- from catalog: Charles Frederick Abel, Esq. (FLNY)",,,,,,,,,,4232,,,"This lot was listed under Prints and Drawings, framed and glazed. It is not clear if this lot contains a drawing or a print.",,,,,,,,,,,,,,,
"Sales Catalog Br-A1520, Lot 0019",,,Rydinger -- from catalog: Rydinger,,,,,,,,,,,A landscape with dogs and dead game,Genre; Sporting,,Painting,,,,Sold [?],,,,,,,1786 Apr 28 - 1786 Apr 29 (This Lot: Apr 28),Christie's,"London, England, UK",,,,2-15 pounds(CL),,"Purrier, John;  -- from catalog: John Purrier",Seguier;  -- from catalog: Segar (CL),,,,,,,,,4032,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1520, Lot 0068",,,"FYT, JAN (Flemish) -- from catalog: Fyt",,,,,,,,,,,Dogs fighting and dead game,Genre; Sporting,,Painting,,,,Bought In,,,,,,,1786 Apr 28 - 1786 Apr 29 (This Lot: Apr 29),Christie's,"London, England, UK",,,,4-4 pounds(CL),,Parker;  -- from catalog: Parker (CL),,,,,,,,,,4032,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1617, Lot 0016[a]",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"A sketch of dogs, and a fruit piece by Snyders (THIS LOT: A sketch of dogs)",Animals,,Drawing,,,,Sold,,,,,,,1788 Feb 25 - 1788 Feb 26 (This Lot: Feb 25),Christie's,"London, England, UK",,,,1-2 pounds (for lots 16[a] & 16[b])(CL),,"Stuart; Stuart, Alexander;  -- from catalog: Stuart (CL)","Callander, Adam;  -- from catalog: Callender (CL)",,,,,,,,,4266,,,This lot was listed under Pictures.,,,,,,,,,,,,,,,
"Sales Catalog Br-A1503, Lot 0105",,,"FYT, JAN (Flemish) -- from catalog: Fyte",,,,,,,,,,,"Dogs and dead game, a capital picture, painted with great force and spirit",Still Life,,Painting,,,,Unknown,,,,,,,1786 Feb 17 - 1786 Feb 18 (This Lot: Feb 18),Greenwood,"London, England, UK",,,,20-0 [?] pounds(FLNY),,,,,,,,,,,,3986,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1384, Lot 0119",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"Inside of a tavern, portrait of a sportsman on horseback with dogs",Genre; Interiors; Portraits,,Painting,,,,Sold,,,,,,,1783 Nov 7 - 1783 Nov  8 (This Lot: Nov  8),Christie's,"London, England, UK",,,,1-10 pounds(CL),,"Rijers, Wessel;  -- from catalog: Ryers [?] (CL)",Broscoe;  -- from catalog: Broscin [?] (CL),,,,,,,,,3626,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2023, Lot 0042",,,"SNYDERS, FRANS (Flemish), and Oudry, Jean Baptiste -- from catalog: Snyders","OUDRY, JEAN BAPTISTE (French), and Snyders, Frans -- from catalog: Audrey",,,,,,,,,,"Two, a fox and cranes and one of dogs and dead game",Animals,,Painting,,,,Sold,,,,,,,1794 Mar 7 - 1794 Mar  8 (This Lot: Mar  8),Christie's,"London, England, UK",,,,10-10 pounds(BIB),,"Egremont, George O'Brien Wyndham, 3rd Earl of;  -- from catalog: Lord Egremont (BIB)",,,,,,,,,,5166,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2102, Lot 0042",,,"SNYDERS, FRANS (Flemish), copy after -- from catalog: F. Snyders",,,,,,,,,,,"A boar hunt, with the dogs at bay. The animals the size of life.",Genre; Sporting,,Painting,,,,Unknown,,,,,,,1795 May 16,Christie's,"London, England, UK",,,,,,"Green, Valentine and Rupert;  -- from catalog: Messrs. V. and R. Green (FLNY)",,,,,,,,,,5316,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1585, Lot 0028",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,Dogs hunting a rabbit and one other,Animals,,Painting,,,,Unknown,,,,,,,1787 May 30 - 1787 Jun  1 (This Lot: May 30),Spurrier (John),"London, England, UK",,,,,,"Beldam, William;  -- from catalog: William Beldam (CAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1690, Lot 0006",,,WOUWERMAN (Dutch) -- from catalog: Wouverman,,,,,,,,,,,"A view of a camp. On the fore ground is seen a tent, near which is a group of six figures, four horses and two dogs, one of the cavaliers examining the head of a white horse, which is beautifully finished; the camp appears in the distance, and it may be truly called, one of his highest and best finished performances, the same is engraved twice.",Genre; Military,,Painting,,,,Unknown,,,,,,,1789 Jun 2,Anonymous,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1765, Lot 0063",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"Pair of Lap Dogs, ditto [framed]",Animals,,Painting,,,,Unknown,,,,,,,1790 Sep 27 - 1790 Oct  6 (This Lot: Sep 29),Meredith (R.),"Hanbury, Worcestershire, England, UK",,,,,,"Exeter, Henry Cecil, 1st Marquess of;  -- from catalog: Hon. Henry Cecil",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2088, Lot 0013",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Spaniel dogs surprising two hares,Animals,,Painting,,,,Unknown,,,,,,,"1795 Apr 0, dates unknown (This Lot: Apr  0)",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2088, Lot 0308",,,"GILPIN, SAWREY (British) -- from catalog: Gilpin",,,,,,,,,,,A study of dogs,Animals,,Painting,,,,Unknown,,,,,,,"1795 Apr 0, dates unknown (This Lot: Apr  0)",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2088, Lot 0376",,,"POTTER, PAULUS (Dutch) -- from catalog: Paul Potter",,,,,,,,,,,"Sportsmen, horses and dogs, in a luxuriant landscape, being the most perfect and by far the richest coloured of this rare and much esteemed master",Genre; Sporting,,Painting,,,,Unknown,,,,,,,"1795 Apr 0, dates unknown (This Lot: Apr  0)",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2088, Lot 0378",,,"WATERLOO, ANTHONIE (Dutch) -- from catalog: Waterloo",,,,,,,,,,,"A pleasing landscape with sportsman and his dogs, Waterloo. The pictures of this master are exceedingly scarce; this is perhaps the most valuable he ever painted",Landscape; Landscapes with Figures,,Painting,,,,Unknown,,,,,,,"1795 Apr 0, dates unknown (This Lot: Apr  0)",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1933, Lot 0083",,,"GILPIN, SAWREY (British) -- from catalog: Gilpin",,,,,,,,,,,Four dogs beautifully grouped,Animals,,Painting,,,,Unknown,,,,,,,"1793, dates unknown ",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1933, Lot 0139",,,"MORLAND, GEORGE (British) -- from catalog: Morland",,,,,,,,,,,A sportsman with his dogs,Animals; Sporting,,Painting,,,,Unknown,,,,,,,"1793, dates unknown ",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2139, Lot 0007",,,"QUADAL, MARTIN FERDINAND (Austrian) -- from catalog: Quadal",,,,,,,,,,,"Dogs and game, exquisitely painted",Animals,,Painting,,,,Unknown,,,,,,,"1796 Feb 0, dates unknown (This Lot: Feb  0)",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2139, Lot 0108",,,"POTTER, PAULUS (Dutch) -- from catalog: Paul Potter",,,,,,,,,,,"Sportsmen, horses and dogs, most faithfully represented.  This brilliant cabinet jewel belonged to the Duke de Coigny, and was esteemed at Paris as the most valuable picture of Paul Potter",Animals; Sporting,,Painting,,,,Unknown,,,,,,,"1796 Feb 0, dates unknown (This Lot: Feb  0)",European Museum,"London, England, UK",,,,,,,,,"Coigny, François-Henri de Franquetot, Duc de [from Catalogue: Duke de Coigny]",,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2139, Lot 0114",,,"OSTADE, ISACK VAN (Dutch) -- from catalog: Isaac Ostade",,,,,,,,,,,"A brilliant landscape with sportsman on horseback followed by his dogs; this picture was more universally admired than any other in the Choiseul gallery, where it is engraved",Genre; Sporting,,Painting,,,,Unknown,,,,,,,"1796 Feb 0, dates unknown (This Lot: Feb  0)",European Museum,"London, England, UK",,,,,,,,,"Choiseul-Praslin, Antoine-César de [from Catalogue: Choiseul gallery]",,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2139, Lot 0344",,,"CUYP, AELBERT (Dutch) -- from catalog: Cuyp",,,,,,,,,,,"Sportsmen with dogs in a glowing landscape, a most exquisite morceau of Cuyp",Genre,,Painting,,,,Unknown,,,,,,,"1796 Feb 0, dates unknown (This Lot: Feb  0)",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2139, Lot 0400",,,"GILPIN, SAWREY (British) -- from catalog: Gilpin",,,,,,,,,,,"Two dogs in quest of a hare, in a beautiful small landscape",Animals,,Painting,,,,Unknown,,,,,,,"1796 Feb 0, dates unknown (This Lot: Feb  0)",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1807, Lot 0036",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,A study of dogs in various attitudes,Animals,,Painting,,,,Unknown,,,,,,,1791 Apr 4 and following days,Anonymous,"London, England, UK",,,,,,"Reynolds, Joshua;  -- from catalog: [Sir Joshua Reynolds]",,,,,,,,,,,,,"This lot appears in the first section of the catalogue, being exhibited in the Anti-Room.",,,,,,,,,,,,,,,
"Sales Catalog Br-A2478, Lot 0778",,,WOUWERMAN (Dutch) -- from catalog: Wouvermans,,,,,,,,,,,"A Dutch sportsman leading his horse, accompanied by his dogs, in a romantic landscape",Landscape; Sporting,,Painting,,,,Unknown,,,,,,,"1800, dates unknown ",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1745, Lot 0026",,,"COOPER, SAMUEL (British) -- from catalog: Cooper",,,,,,,,,,,"Diana and dogs, highly finished",History; Mythology (Figures),,Drawing,,,,Unknown,,,,,,,1790 May 3 - 1790 May 18 (This Lot: May 18),Greenwood,"London, England, UK",,,,0-18 pounds(VAL),,"Chauncey, Charles, Dr. and Chauncey, Nathaniel; Chauncey, Nathaniel and Chauncey, Charles, Dr.;  -- from catalog: Charles Chauncy and Chauncy, Nathl.",,,,,,,,,,4584,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1370, Lot 0021",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"Dogs, &c.",Animals,,Painting,,,,Sold,,,,,,,1783 May 30 - 1783 May 31 (This Lot: May 30),Christie's,"London, England, UK",,,,1-2 pounds(VAL),,"Cavalli, Simon;  -- from catalog: Cav (VAL)","Scott, John;  -- from catalog: Sr Jno Scott (VAL)",,,,,,,,,3589,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-608-A, Lot 0435",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"A Russian bear defending himself against a number of dogs, who are furiously attacking him; a most spirited performance",,,Painting,,,,Unknown,,,,,,,1808 Jul 0 and following days,European Museum,"London, England, UK",,,,,,,,,,1808/05/03 LOEU 0435 Br-577,,1808/11/00 LOEU 0435 Br-623<br>1809/02/17 LOCH 0078 Br-637,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2073, Lot 0013",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Spaniel dogs surprising two hares,Animals,,Painting,,,,Unknown,,,,,,,"1795 Jan 0, dates unknown ",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-608-A, Lot 0372",,,SARTORIUS (British) -- from catalog: Sartorius,,,,,,,,,,,A landscape with dogs.  Sartorius.  This pleasing sportsman's picture is engraved,,,Painting,,,,Unknown,,,,,,,1808 Jul 0 and following days,European Museum,"London, England, UK",,,,,,,,,,1808/05/03 LOEU 0372 Br-577,,1808/11/00 LOEU 0372 Br-623<br>1809/02/17 LOCH 0030 Br-637,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-608-A, Lot 0362",,,"SCOTT, SAMUEL (British) -- from catalog: Scott",,,,,,,,,,,"A correct view of Greenwich hospital, the ranger's house, the royal observatory, One-tree hill, &c. &c. taken from the Isle of Dogs; the river Thames, boats and vessels, an interesting scene, considered the principal production of Scott, who was stiled the English Cannaletti",,,Painting,,,,Unknown,,,,,,,1808 Jul 0 and following days,European Museum,"London, England, UK",,,,,,,,,,1808/05/03 LOEU 0362 Br-577,,1808/11/00 LOEU 0362 Br-623,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2424, Lot 0486",,,"VERSCHURING, HENDRIK (Dutch) -- from catalog: Verschuuring, Henry, Holl. [-- born in 1627, died in 1690]",,,,,,,,,,,"Two large ditto [landschapes], with figures on horseback, dogs, &c. -- pen & Indian ink -- capital compositions",Landscape; Landscapes with Figures,,Drawing,,in pen and ink,,Sold,,,,,,,1799 May 20 - 1799 May 25 (This Lot: May 24),Philipe (Thomas),"London, England, UK",,,,0-9 pounds(VAL),,"Fagel, François VI, Greffier;  -- from catalog: Greffier Francois Fagel",Clark;  -- from catalog: Clarke (VAL),,,,,,,,,5921,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2370, Lot 0066",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius",,,,,,,,,,,Dogs seizing the Stag,Genre; Sporting,,Painting,,,,Unknown,,,,,,,1799 Jan 16,Edwards (Edward),"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1665, Lot 0053",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hundius",,,,,,,,,,,Dogs and Boar,Animals,,Painting,,,,Unknown,,,,,,,1789 Jan 5 and following days (This Lot: Jan  5),Secard (Louis),"London, England, UK",,,,,,"Secard, Louis;  -- from catalog: Mr. Secard",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1695, Lot 0018",,,"HOLBEIN, HANS (THE YOUNGER) (German) -- from catalog: Holbein",,,,,,,,,,,"A conversation, and Diana with dogs",Genre; History; Mythology (Figures),,Painting,,,,Unknown,,,,,,,1789 Jun 11 - 1789 Jun 12 (This Lot: Jun 11),Greenwood,"London, England, UK",,,,1-6 pounds,,,,,,,,,,,,4461a,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2215-A, Lot 0153",,,"MORLAND, GEORGE (British) -- from catalog: George Morland",,,,,,,,,,,A Brace of Setting Dogs,,,Painting,,,,Unknown,,,,,,,1821 Nov 22,Blake & Cunningham,"London, England, UK",,,,,,,,,,,,,,,,10132a,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2215-A, Lot 0154",,,"MORLAND, GEORGE (British) -- from catalog: George Morland",,,,,,,,,,,"A Brace of Pointer Dogs. Two very highly finished, beautiful little Pictures, by this admired artist. Painted by George Morland, London",,,Painting,,,,Unknown,,,,,,,1821 Nov 22,Blake & Cunningham,"London, England, UK",,,,,,,,,,,,,,,,10132a,,,The title refers to lots 153 and 154.,,,,,,,,,,,,,,,
"Sales Catalog Br-A1608, Lot 0022",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: Griefe",,,,,,,,,,,"A pair of landscapes, with dogs, dead game",Landscape,,Painting,,,,Unknown,,,,,,,1788 Feb 9,Greenwood,"London, England, UK",,,,,,"Maskens, Adrian;  -- from catalog: Adrian Maskens",,,,,,,,,,4254,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2551, Lot 0013",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,Two of dogs,Animals,,Painting,,,,Sold,,,,,,,1800 Jun 23 - 1800 Jun 24 (This Lot: Jun 23),Christie's,"London, England, UK",,,,1-10 pounds(CL),,"Bacon, Kenrick;  -- from catalog: Kenrick (CL)",Seguier;  -- from catalog: Seguire (CL),,,,,,,,,6112,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1575, Lot 0051",,,"UDEN, JEAN VAN [UNIDENTIFIED] (NEW) -- from catalog: Udini",,,,,,,,,,,"Five, of dogs, cows, &c. Udini",Animals,,Drawing,,,,Unknown,,,,,,,1787 Apr 24 - 1787 Apr 30 (This Lot: Apr 24),Greenwood,"London, England, UK",,,,,,"JAMES, GEORGE;  -- from catalog: George James (Catalogue)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A1254, Lot 0012",,,"FYT, JAN (Flemish) -- from catalog: Fyte",,,,,,,,,,,"a negro with dogs, &c.",Genre,,Painting,,,,Sold,,,,,,,1780 Sep 28 - 1780 Oct  3 (This Lot: Oct  3),Christie's,"London, England, UK",,,,10-10 pounds(CL),,"Turner, John;  -- from catalog: John Turner",Sykes;  -- from catalog: Sykes (CL),,,,,,,,,3176,,,Section No. XXVIII. Pictures.,,,,,,,,,,,,,,,
"Sales Catalog Br-608-A, Lot 0170",,,"LINGELBACH, JOHANNES (Dutch) -- from catalog: Lingelback",,,,,,,,,,,"The famous cattle-fair of Segovia, considered the chef d'oeuvre of Lingelback; the pleasing groups of cattle, sheep, goats, dogs, horses and figures, finely disposed; the antique ruins and rich scenery of that romantic and interesting town are most judiciously introduced",,,Painting,,,,Unknown,,,,,,,1808 Jul 0 and following days,European Museum,"London, England, UK",,,,,,,,,,1806/05/26 LOEU 1602 Br-414; 1806/12/29 LOEU 1602 Br-447; 1808/05/03 LOEU 0170 Br-577,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-657-A, Lot 0149",,,"BOURDON, SÉBASTIEN (French) -- from catalog: S. Bourdon",,,,,,,,,,,"Sportsmen, dogs, &c.",,,Painting,,,,Unknown,,,,,,,1809 Apr 0 and following days (This Lot: Apr  0),European Museum,"London, England, UK",,,,,,"Crewe, John Crewe, 2nd Baron;  -- from catalog: [Gen Crewe]",,,,,,1809/05/00 LOEU 0149 CREWE Br-666-A<br>1810/02/26+ LOEU 0149 CREWE Br-724-A<br>1810/07/16 LOFA 0115 CREWE Br-798,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2434, Lot 0475",,,"MOUCHERON (Dutch), and Velde, A. -- from catalog: Moucheron","VELDE, ADRIAEN VAN DE (Dutch), and Moucheron -- from catalog: Adrian Vandeveldt",,,,,,,,,,"A beautiful landscape with architecture, Moucheron ; the figures, dogs and horses, Adrian Vandeveldt.",,,Painting,,,,Unknown,,,,,,,"1799 Jun 0, dates unknown (This Lot: Jun  0)",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-A2073, Lot 0308",,,"GILPIN, SAWREY (British) -- from catalog: Gilpin",,,,,,,,,,,A study of dogs,Animals,,Painting,,,,Unknown,,,,,,,"1795 Jan 0, dates unknown ",European Museum,"London, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5795, Lot 0105",,,"RUISDAEL, JACOB VAN (Dutch) -- from catalog: J. Ruysdael",,,,,,,,,,,"A rustic Landscape, with a wide estent of corn-fields on which the sun is shining brightly ; they are bounded by trees, among which are seen two cottages : a peasant with two dogs is on a sandy road in the foreground.",,,Painting,,,,Sold,,,,,,,1849 Jun 14 - 1849 Jun 16 (This Lot: Jun 16),Christie's,"London, England, UK",,,,183-15 pounds(CL),,"Hope, William Williams;  -- from catalog: William Williams Hope, Esq.","Smith, John (picture dealer);  -- from catalog: Smith B[ond] S[treet]",,,1815/04/17 PAPER 0034 PERIGNON F-572,,,"London, England, UK. Earl of Northbrook",,,19417,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5795, Lot 0124",,,"HOBBEMA, MEINDERT (Dutch) -- from catalog: Hobbema",,,,,,,,,,,"A grand Woody Scene in Guelderland : two horsemen on a road, in a brilliant gleam of sunshine, near a picturesque watermill ; a cottage in the centre is seen trees, and a village spire beyond ; a peasant is seated in the shade in the foreground ; two dogs are seen on the road, and some ducks in the still water beneath the mill.  The brilliant tints of the foliage contrast admirably with the partially clouded sky.",,,Painting,,,,Bought In,,,,,,,1849 Jun 14 - 1849 Jun 16 (This Lot: Jun 16),Christie's,"London, England, UK",,,,367-10 pounds(CL),,"Hope, William Williams;  -- from catalog: William Williams Hope, Esq.",,,,1841/03/25 PAPA 0002 HÉRIS X,,1858/05/11 PACOU 0002 HOPE NA,"Washington, DC, USA. National Gallery of Art, 1942.9.31",,,19417,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5796, Lot 0076",,,WOUWERMAN (Dutch) -- from catalog: Wouvermans,,,,,,,,,,,"An open Landscape, with trees above a sandy bank, a horseman watering his horse at a stream of water, in which bathers are seen beyond, and a man with two dogs on a road ; a farm-house seen in the distance.",,,Painting,,,,Sold,,,,,,,1849 Jul 5,Christie's,"London, England, UK",,,,147 pounds(CL),,"Vernon, Robert;  -- from catalog: Robert Vernon, Esq.",Norton;  -- from catalog: Norton,,,,,,,,,19445,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5799, Lot 0087",,,"WOUWERMAN, PHILIPS (Dutch) -- from catalog: Philip Wouvermans",,,,,,,,,,,"La Chasse aux Eperviers.  The arrival of a hunting party before the entrance of a country mansion, near the walls of which is a large fountain, adorned with a figure, and relieved by a group of trees ; the party consists of two ladies and two gentlemen with horses ; one of the latter (dismounted) is caressing the lady of the mansion ; the other taking a hawk from a lady on horseback ; several attendants on foot, with hawks and dogs, complete the composition.  Engraved by Moyreau under the above title, and also in the Orlèans [sic] Gallery.",,,Painting,,,,Sold,,,,,,,1850 Apr 23,Phillips (Harry),"London, England, UK",,,,273-0 pounds(RKDH),,"Artaria, Henry Charles Ferdinand;  -- from catalog: Henry Artaria, Esq.",Bredael;  -- from catalog: Bredael,,"Lebrun, Jean-Baptiste-Pierre [from Catalogue: Le Brun]",1844/07/06 LOCH 0008 PENRICE X,,1875/05/01 LOCH 0135 BREDEL NA,"London, England, UK. Wallace Collection, P53 (as follower of Van Dyck, Portrait of a nobleman)",,,19821,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-5801, Lot 0097",,,"CUYP, AELBERT (Dutch) -- from catalog: Cuyp",,,,,,,,,,,"A Man holding a white Horse with dogs, and cattle in a landscape.",,,Painting,,,,Bought In,,,,,,,1850 Jun 5 - 1850 Jun  6 (This Lot: Jun  6),Foster (Edward),"London, England, UK",,,,32-11 pounds(BIB),,,,,,,,,,,,19895,,,,,,,,,,,,,,,,,,
